Recency,Frequency,Monetary
4052,2,13.4
3423,21,241.7
3574,8,56.43
3805,8,87.6
3491,9,79.8
3380,21,204.0
3379,17,74.9
3553,8,85.6
3530,6,49.7
3836,7,30.65
3519,11,129.16
3387,15,114.69
3428,19,140.7
3738,4,45.7
4033,2,12.5
3760,6,23.0
3507,6,55.7
3477,13,100.7
3390,9,70.7
3465,5,38.3
3658,5,67.78
3382,6,19.2
3542,8,76.7
3381,11,124.3
3459,9,150.2
3462,12,86.8
3670,8,29.8
3476,13,104.8
3608,11,64.3
3517,9,57.3
3725,8,57.1
3560,6,26.4
3702,2,11.0
3428,14,126.8
3404,10,37.85
3587,7,26.9
3862,5,111.45
3729,10,40.05
3479,13,46.7
3414,6,74.76
4086,3,6.9
3441,8,75.5
3518,14,136.75
3604,7,46.45
3413,5,41.15
3552,4,18.1
3511,7,69.5
3386,10,62.42
3390,6,19.92
3428,20,209.84
3523,5,20.7
3496,16,121.4
3533,11,83.7
3406,8,99.36
3889,2,4.9
3416,15,159.22
3402,9,85.55
3490,4,23.0
3637,14,97.62
3703,2,63.9
3516,11,127.7
3408,11,76.9
3381,8,56.9
3378,13,125.6
3381,9,61.25
3546,8,105.1
3470,14,121.8
3547,21,202.74
3497,26,208.22
3393,12,80.3
3436,10,79.9
3539,12,96.28
3530,8,48.3
3396,27,256.25
3558,12,100.5
3588,14,99.7
3402,6,34.77
3394,10,70.2
3887,8,49.3
3557,15,130.06
3403,27,223.95
3422,11,97.54
3453,4,21.1
3519,5,53.1
3450,7,65.3
3500,11,77.54
3871,4,57.5
3555,12,90.75
3750,7,70.4
3430,14,123.52
3428,13,95.5
3431,7,59.3
3455,8,35.6
3534,7,43.2
3423,4,20.6
3678,17,132.7
3852,6,28.2
3414,8,71.0
3517,10,85.85
3713,9,74.6
3420,12,43.35
3615,5,37.8
3414,12,148.6
3383,10,63.45
3506,16,201.92
3385,16,163.14
3448,6,83.6
3737,13,119.52
3541,14,73.23
3385,15,194.4
3502,10,95.8
3446,6,58.4
3518,2,10.6
3807,6,72.7
3412,24,165.52
3511,9,74.85
3789,10,111.2
3379,14,98.55
3547,10,87.8
3471,12,75.74
3711,3,44.92
3904,2,22.4
3460,19,167.3
3545,7,91.1
3506,11,86.4
3544,8,76.1
3595,2,39.4
3739,16,157.4
3397,11,98.44
3670,4,74.2
3748,4,52.3
3444,8,29.45
3407,18,155.76
3644,6,92.3
3421,12,124.0
3394,12,99.85
3424,12,143.8
3657,5,67.5
3627,20,153.97
3669,10,35.4
3443,5,53.1
3589,13,84.25
3380,5,42.8
3623,18,97.64
3392,10,104.5
3763,3,4.8
3468,15,112.54
